academic_year,course_name,meeting_number,meeting_content
20241,Advanced Ethical Hacking,1,Course Introduction and Indonesia Cyber Security Field and Condition CEH v12 Capable to know what cybersecurity is and how Indonesia Cybersecurity field and condition nowadays
20241,Advanced Ethical Hacking,2,Distributed Denial of Service (DDOS) CEH v12 Understanding Distributed Denial of Service (DDOS) attack.
20241,Advanced Ethical Hacking,3,"Chapter 11: Session Hijacking CEH v12 Capable to know and identify the Session Hijacking hacking and its steps and types of techniques that could be done, and know how the countermeasure and its preventions"
20241,Advanced Ethical Hacking,4,"Module 12 Evading IDS, Firewall, and Honeypot CEH v12 Capable to know and identify the Evading IDS, Firewall, and Honeypot hacking and its steps and types of techniques that could be done, and know how the countermeasure and its preventions"
20241,Advanced Ethical Hacking,5,"Hacking Web Servers CEH v12 Capable of knowing and identifying the Web Server hacking and its steps and types of techniques that could be done, and see how the countermeasures and its preventions"
20241,Advanced Ethical Hacking,6,Hacking Web Application 1 CEH v12 Capable to know and identify the Web Application hacking and its steps and types of techniques that could be done
20241,Advanced Ethical Hacking,7,"Hacking Web Application CEH v12 Continue the explanation and discussion of the Web Application hacking types of techniques, and know how the countermeasure and its prevention"
20241,Advanced Ethical Hacking,8,"SQL Injection CEH v12 Capable of knowing and identifying SQL Injection hacking and its steps and types of techniques that could be done, and know how the countermeasure and its preventions."
20241,Advanced Ethical Hacking,9,"Hacking Wireless Network CEH v12 Capable of knowing and identify the Wireless Networks hacking and its steps and types of techniques that could be done, and know how the countermeasure and its preventions"
20241,Advanced Ethical Hacking,10,"Hacking Mobile Platform CEH v12 Capable of knowing and identify the Mobile Platforms hacking and its steps and types of techniques that could be done, and know how the countermeasure and its preventions"
20241,Advanced Ethical Hacking,11,"IoT Hacking CEH v12 Capable of knowing and identifying the IoT hacking and its steps and types of techniques that could be done, and see how the countermeasures and its preventions."
20241,Advanced Ethical Hacking,12,"Cloud Computing CEH v12 Capable of knowing and identifying the Cloud Computing hacking and its steps and types of techniques that could be done, and know how the countermeasure and its preventions."
20241,Advanced Ethical Hacking,13,"Cryptography CEH v12 Capable of knowing and identifying the Cryptography hacking and its steps and types of techniques that could be done, and see how the countermeasure and its preventions."
20241,Advanced Ethical Hacking,14,Cryptography CEH v12 Students understand how Cryptography works. Algoritma dan Pemrograman
20241,Algoritma dan Pemrograman,1,"Introduction Gaddis Introduction to Hardware and software. Base number system (decimal, binary, octal, hexadecimal) Number convertion between base number system."
20241,Algoritma dan Pemrograman,2,Modules Gaddis Modules
20241,Algoritma dan Pemrograman,3,"Input, Process, Output Gaddis Input, Process, Output. Raptor logic sybols. IPO using Raptor Interpreter"
20241,Algoritma dan Pemrograman,4,Decision structure Gaddis Decision structure If Else If Then Else Switch Case
20241,Algoritma dan Pemrograman,5,Repetition structure Gaddis Repetition structure. For...loop While...loop Do....while Sentinel
20241,Algoritma dan Pemrograman,6,Function Gaddis Function . Passing argument. Provided function and own defined function.
20241,Algoritma dan Pemrograman,7,Input validation + Review Gaddis Input validation + Review Temperatur convertion BMI Factorial
20241,Algoritma dan Pemrograman,8,Array Gaddis Array
20241,Algoritma dan Pemrograman,9,Sorting and searching array Gaddis Sorting and searching array
20241,Algoritma dan Pemrograman,10,Files Gaddis Files - open file - read file - process the data
20241,Algoritma dan Pemrograman,11,Menu-driven program Gaddis Menu-driven program
20241,Algoritma dan Pemrograman,12,Text processing Gaddis Text processing File for exercise: diabetes_prediction_dataset.csv
20241,Algoritma dan Pemrograman,13,Object Oriented Programming Gaddis Object Oriented Programming Review for UAS Algoritma dan Pemrograman
20241,Algoritma dan Pemrograman,14,Recursion Gaddis Recursion Factorial. Fibonacci Aljabar Linear
20241,Aljabar Linear,1,"Sesi 1 - Matrices and System Equations 1 Leon Sesi 1 - Matrices and System Equations 1 Sistem persamaan linear. Eliminnasi, substitusi Row echelon, reduced row echelon"
20241,Aljabar Linear,2,Determinant Leon Determinant. Sarrus law Cofactor expansion Cramer's rule
20241,Aljabar Linear,3,Matrix Algebra Leon Matrix Algebra
20241,Aljabar Linear,4,Vector space 1 Leon Vector space 1
20241,Aljabar Linear,5,Vector Space 2 Leon Vector space 2 Null space
20241,Aljabar Linear,6,Linear transformation Leon Linear transformation Transformation 2D and 3 D. Rotation 2D and 3D.
20241,Aljabar Linear,7,Review UTS Leon Review UTS
20241,Aljabar Linear,8,Orthogonality Leon Orthogonality
20241,Aljabar Linear,9,"EigenValue 1 Leon EigenValue 1 (Kelas dibubarkan lebih awal, karena ada mahasiswa yang tidak mau mensilent HP. Bunyi notifikasi HP sudah lebih dari 5 kali berbunyi dan sebelum tinggal kelas sudah diingatkan sekali lagi untuk men-silent HP. Jika HP berbunyi lagi, maka kelas dianggap selesai. Beberapa saat kemudian HP berbunyi lagi dan sesi hari ini berakhir)"
20241,Aljabar Linear,10,Numerical Algebra Leon Numerical Algebra LU factorization
20241,Aljabar Linear,11,"Eigen value, eigen vector and eigenspaces Leon Eigen value, eigen vector and eigenspaces"
20241,Aljabar Linear,12,Nummerical algebra Leon Nummerical algebra. Factoring out the pivots
20241,Aljabar Linear,13,"Eigen value and least square problem Leon Eigen value and least square problem -eigenvalues, eigenvector (three dimension) -least square"
20241,Aljabar Linear,14,Quiz Leon Quiz Analisis Perancangan Sistem Informasi
20241,Analisis Perancangan Sistem Informasi,1,Analisa Perancangan Sistem Menjalaskan RPS Menjelaskan Pengertian Sistem Mahasiswa dijelaskan tentang Rencana Pembelajaran Semester dan Juga di Jelaskan tentang Pengertia Sistem
20241,Analisis Perancangan Sistem Informasi,2,Analisis Perancangan Sistem Informasi Menjelaskan tetang karakteristik Sistem dan Batasan Sisitem Mahasiswa Diberikan Penjelasan Tentang Karakteristik Sistem dan Batasan Sitem untuk mengerti tentang Sistem
20241,Analisis Perancangan Sistem Informasi,3,Pengertian Sistem Informasi Mahasiswa dijelaskan tentang pengertian Informasi Mahasiswa diajarkan tentang pengertian Sistem Informasi dan Bagian2 dari Sistem Informasi
20241,Analisis Perancangan Sistem Informasi,4,Analisa Perancangan Sistem Menganalisa Sistem untuk dilakakukan perbaikan pada Sistem yang lama Mahasiswa diajarkan bagaimana Menganalisa Sistem untuk segera dilakakukan perbaikan pada Sistem yang lama
20241,Analisis Perancangan Sistem Informasi,5,Analisa Sistem Menjelaskan Apa yang dimaksud dengan Analisa Sistem dalam suatu Perancangan Sistem Mahasiswa Diajarkan bagaimana cara Menganalisa Sistem dalam suatu Pembangunan Sistem Informasi
20241,Analisis Perancangan Sistem Informasi,6,Perancangan Sistem Informasi Menjelaskan Pengertian Perancangan Sistem Informasi Mahasiswa Diajarkan tentang Pengertian Sistem Informasi dan Alat-alat bantu dalam perancangan SIstem Informasi
20241,Analisis Perancangan Sistem Informasi,7,Analisa Perancangan Sistem Informasi Alat (Tools) untuk Perancangan Sistem Mahasiswa dikenalkan dan diajarkan bagaimana penggunaan Tools untuk perancangan Sistem dari hasil Analisa Sistem
20241,Analisis Perancangan Sistem Informasi,8,Analisa dan Perancangan Sistem Informasi Merancang Sistem Stok Barang dengan menggunakan DFD (Data Flow Diagram) Mahasiswa Diajarkan bagaimana cara merancang Sistem Stok Barang dengan menggunakan DFD (Data Flow Diagram)
20241,Analisis Perancangan Sistem Informasi,9,"Analisa dan Perancangan Sistem Merancang suatu Sistem Penggajian dengan menggunakan DFD, sekaligus merancang Database dan ERD Mahasiswa diajarkan bagaimana cara merancang Suatu Sistem Penggajian dengan menggunakan DFD, Database dan ERD"
