source_file,course_code,course_name,section,extracted_text
Copy of FTK121 Aljabar Linear.pdf,FTK121,Aljabar Linear,course_description,"this course provides an understanding of applying mathematics on linier algebra and matrix. the topic is a broad topic covering many different subjects. the course of linier algebra and matrix offered ie, matrices and system of equation, determinants matrix, vector space, linear transformation, or thogonality, eigenvalues, and numerical linear algebra. this course give a basic or fundamental for student in theory and practice about liner algebra and matrix for information systems."
Copy of FTK121 Aljabar Linear.pdf,FTK121,Aljabar Linear,course_objectives,"upon completion of this course, the student should be able to (cid 136) demonstrate understanding of matrices and system linier of equation ; (cid 136) demonstrate understanding of determinants matrices ; (cid 136) demonstrate understanding of vector space ; (cid 136) demonstrate understanding of linear transformation ; (cid 136) demonstrate understanding of orthogonality and eigen value."
Copy of FTK121 Aljabar Linear.pdf,FTK121,Aljabar Linear,methods_instruction,"virtual classroom instruction consists of lectures and practical problem solving, supplemented by visual aids designed to assist the student to successfully meet the course’s learning objectives and the interactive discussions in virtual classroom through academic portal bakrie information gateway v it is imperative that students take an active interest in the course. to succeed in this course, students must read, think, and write in a critical and analytical manner and this takes time and practice. such practice can only be achieved by working exercises. when troubles arise, and they will, the student must ask questions which may be directed to the instructor or other students in a variety of ways. students are also encouraged to work together on problem sets as part of their exercises. however, individual must ultimately demonstrate the understanding of the material by writing up his/her own solutions without the help of other students or their written work. on average students need to spend, at least, 6 hours of study and preparation per week for this course. f ppkr1 syllabus ftk121 (rencana pembelajaran semester)"
Copy of FTK121 Aljabar Linear.pdf,FTK121,Aljabar Linear,course_outline,"session topics & sub topics methods references assignment system of linear equations and matrices (1) (a) systems of linear equations (b) gaussian elimination (c) matrices and matrix operations (d) inverses; algebraic properties of met 1 lecture, discussion (1) chapter 1 – rices (e) elementary matrices and method for −1 finding a (f) more on linear systems and invertible matrices system of linear equations and matrices (2) (a) diagonal, triangular, and symmetric matrices 2 lecture, discussion (1) chapter 1 – (b) matrix transformations (c) application for linear systems (d) leontief input output models determinant (1) 3 (a) determinants by cofactor expansion lecture, discussion (1) chapter 2 – (b) evaluating determinants by row re duction determinant (2) 4 lecture, discussion (1) chapter 2 – (a) properties of determinants; cramer’s rule vector and space (1) (a) vectors in 2 space, 3 space and n space 5 lecture, discussion (1) chapter 3 – (b) norm, dot product, and distance in n r (c) the geometry of linear systems (d) cross product f ppkr1 syllabus ftk121 (rencana pembelajaran semester) vector and space (2) (a) real vector spaces (b) subspaces (c) linear independence (d) coordinates and basis (e) dimension (f) change of basis 6 (g) row space, column space and null lecture, discussion (1) chapter 4 – space (h) rank, nullity, and the fundamental matrix spaces (i) basic matrix transformations in r2 and r3 (j) properties of matrix transformations (k) application geometry of matrix op erators on r2 review topics from session 1 to 7 (a) system of linear equations and ma trices (1) (b) system of linear equations and ma 7 trices (2) lecture, discussion (1) chapter 1 to 4 – (c) determinant (1) (d) determinant (2) (e) vector and spaces (1) (f) vector and spaces (2) mid semester test orthogonality (1) n (a) the scalar product in r 8 lecture, discussion (2) chapter 5 – (b) orthogonal subspaces (c) least square problems (d) inner product spaces orthogonality (2) (a) orthonormal sets 9 lecture, discussion (2) chapter 5 – (b) the gram schmidt orthogonalization process (c) orthogonal polynomials eigenvalues (1) (a) eigenvalues and eigenvectors 10 lecture, discussion (2) chapter 6 – (b) systems of linear differential equa tions (c) diagonalization eigenvalues (2) (a) hermitian matrices 11 lecture, discussion (2) chapter 6 – (b) the singular value decomposition (c) quadratic forms eigenvalues (3) (a) positive definite matrices 12 lecture, discussion (2) chapter 6 – (b) nonnegative matrices (c) applications differential equations numerical linear algebra (1) (a) floating point numbers (b) gaussian elimination 13 lecture, discussion (2) chapter 7 – (c) pivoting strategies (d) matrix norms and condition numbers (e) orthogonal transformations (f) the eigenvalue problem numerical linear algebra (2) and review topics from session 8 to 14 (a) least squares problems (b) orthogonality (1) quiz in virtual 14 lecture, discussion (2) chapter 5 to 7 (c) orthogonality (2) class (d) eigenvalues (1) (e) eigenvalues (2) (f) eigenvalues (3) (g) numerical linear algebra final semester test f ppkr1"
Copy of TIF101 Sirkuit Elektronik.pdf,TIF101,Sirkuit Elektronik,course_description,"this course provides a complete and straightforward coverage of the basics of electrical component and circuits. fundamental circuit laws and analysis methods are discussed in a variety of basic circuits. major topics included are ohm’s law, kirchhoff’s laws, magnetism and electromagnetism, reactance, impedance, resonance, and passive filters"
Copy of TIF101 Sirkuit Elektronik.pdf,TIF101,Sirkuit Elektronik,course_objectives,"show list of course objectives. the list usually consists of five or six statements, general but comprehensive. the list may include specific skills or techniques students are expected to master after completing the course."
Copy of TIF101 Sirkuit Elektronik.pdf,TIF101,Sirkuit Elektronik,methods_instruction,"understand the basic concepts of electric circuits, power and energy. apply the rules of parallel and series resistors and source superposition to simplify or solve resistive circuits.  solve resistive circuits using the nodal and mesh methods. understand the function of dependent sources and solve simple circuits with dependent sources. understand the physical laws governing capacitors and inductors. understand the meaning of the time constant; calculate the time constant of a rc or rl circuit.  obtain the circuit forced response to constant inputs. obtain the circuit solution to multiple switching operations. understand the natural response of rlc circuits and the distinction between over damped, critically damped and under damped responses.  understand the concept of sinusoidal steady state, phasor, and impedance. solve a circuit in the sinusoidal steady state and find the voltage and current phasors.  understand the passive filter use various combinations of resistors, capacitors, and inductors."
Copy of TIF101 Sirkuit Elektronik.pdf,TIF101,Sirkuit Elektronik,course_outline,"this section should show topics, sub topics, specific method of instruction/ delivery and material references. session topic & sub topics methods of delivery material references 1 voltage, current, and resistance [# chapter 2 page 20 ] [# chapter 2 page 20 ] 2 ohm’s law 3 energy and power [# chapter 4 page 100 ] series circuits [# chapter 5 page 122 ] 4 parallel circuits [# chapter 6 page 178 ] 5 series parallel circuits [# chapter 7 page 231 ] 6 magnetism and electromagnetism [# chapter 10 page 376 ] 7 middle semester test introduction to alternating current [#chapter 11 page 420 ] 8 and voltage capacitors [#chapter 12 page 484 ] 9 inductors [#chapter 13 page 544 ] 10 rc circuits [#chapter 15 page 623 ] 11 rl circuits [#chapter 16 page 701 ] 12 rlc circuits and resonance [#chapter 17 page 751 ] 13 passive filters [#chapter 18 page 803 ] 14 final semester test syllabus tif101 hal. 3/6 i. textbook and others required materials principles of electric circuit conventional current version, ninth edition. thomas l. floyd prentice hall, upper saddle river, new jersey. ii. objectives upon completion of the course the student should be able to  understand the basic concepts of electric circuits, power and energy. apply the rules of parallel and series resistors and source superposition to simplify or solve resistive circuits.  solve resistive circuits using the nodal and mesh methods. understand the function of dependent sources and solve simple circuits with dependent sources. understand the physical laws governing capacitors and inductors. understand the meaning of the time constant; calculate the time constant of a rc or rl circuit.  obtain the circuit forced response to constant inputs. obtain the circuit solution to multiple switching operations. understand the natural response of rlc circuits and the distinction between over damped, critically damped and under damped responses.  understand the concept of sinusoidal steady state, phasor, and impedance. solve a circuit in the sinusoidal steady state and find the voltage and current phasors.  understand the passive filter use various combinations of resistors, capacitors, and inductors. iii. methods of instructions classroom instruction consists of lectures and practical problem solving, supplemented by visual aids designed to assist the student to successfully meet the course’s learning objectives. iv. attendance procedure comply with academic rules. v. methods of evaluation mid test 30% final test 40% others 30% syllabus tif101 hal. 4/6 vi. course outline week topic voltage, current, and resistance i  atomic structure  electrical charge  voltage, current, and resistance  the electric circuit and measurement  electrical safety ohm’s law ii  the relationship of current, voltage, and resistance  current, voltage, and resistance calculations  introduction to troubleshooting energy and power iii  energy and power  power in an electric circuit  resistor power ratings  energy conversion and voltage drop in resistance  power supplies and batteries series circuits iv  resistors in series  total series resistance  current in a series circuit  application of ohm's law  voltage sources in series  kirchhoff's voltage law  voltage dividers  power in series circuits  voltage measurements  troubleshooting home work week topic ref. assignment problem 6, 7, voltage, current, and chapter 2 8, 9, 10, 14, i resistance page 20 19, 24, 35, 37 problem 5,7, chapter 3 8, 9, 11, 17, ii ohm’s law page 75 18, 27, 33, 38 iii energy and power chapter 4 problem 11, syllabus tif101 hal. 5/6 page 100 12, 13,14, 19, 23, 28, 30, 35, 37 problem 3, chapter 5 12, 16, 29, iv series circuits page 122 33, 35, 37, 44, 47, 51 problem 2, 7, chapter 6 12, 19, 25, v parallel circuits page 178 33, 35, 42, 43, 45 problem 3, 6, chapter 7 11, 15, 27, vi series parallel circuits page 231 30, 35, 41, 48, 51 problem 2, 4, magnetism and chapter 10 6, 8, 9, 11, vii electromagnetism page 376 15, 18, 25, 29 mid semester test problem 3, 7, introduction to alternating chapter 11 10, 15, 21, viii current and voltage page 420 24, 29, 33, 35, 39 problem 1, 5, chapter 12 10, 14, 21, ix capacitors page 484 26, 31, 38, 43, 44 problem 3, 4, chapter 13 6, 8, 11, 14, x inductors page 544 21, 22, 33, 34 problem 19, chapter 15 23, 26, 28, xi rc circuits page 623 37, 43, 45, 49, 53, 61 problem 1, 3, chapter 16 8, 9, 17, 21, xii rl circuits page 701 29, 34, 39, 43 problem 2, 5, chapter 17 8, 13, 17, 19, xiii rlc circuits and resonance page 751 25, 26, 32, 39 problem 1, 2, chapter 18 3, 4, 5, 14, xiv passive filters page 803 18, 19, 22, 27 final semester test syllabus tif101 hal. 6/6"
Copy of FTK111 Kalkulus 1.pdf,FTK111,Kalkulus 1,course_description,"mata kuliah ini dimaksudkan untuk memberi kemampuan pada mahasiswa tentang konsep – konsep matematika mengenai limit fungsi, kekontinuan turunan, fungsi transenden , integral tentu dan tak tentu, definisi, sifat sifat dan teorema terkait beserta aplikasinya serta mampu menerapkannya dalam penyelesaian soal. materi perkuliahan meliputi limit fungsi dan kekontinuan; definisi, sifat sifat dan rumus – rumus turunan beserta aplikasinya; definisi dan sifat – sifat fungsi transenden beserta aplikasinya; definisi, sifat sifat, rumus – rumus integral tak tentu dan integral tentu."
Copy of FTK111 Kalkulus 1.pdf,FTK111,Kalkulus 1,methods_instruction,"/metode pembelajaran instruksi kelas online terdiri dari ceramah dan pemecahan masalah praktis, dilengkapi dengan alat bantu visual yang dirancang untuk membantu siswa untuk berhasil memenuhi tujuan program pembelajaran."
