raw_verb,bloom_level
melafalkan,C1
melafazkan,C1
memasangkan,C1
membaca,C1
memberi definisi,C1
memberi indeks,C1
memberi kode,C1
memberi label,C1
membilang,C1
membuat daftar,C1
membuat tabel,C1
memilih,C1
menamai,C1
menandai,C1
mencatat,C1
mencocokkan,C1
mendaftar,C1
mendefinisikan,C1
mendeklamasikan,C1
menelusuri,C1
menemukenali,C1
menggambar,C1
menggandakan,C1
menggarisbawahi,C1
menghafal,C1
mengidentifikasi,C1
mengingat,C1
mengingat kembali,C1
mengulang,C1
mengutip,C1
meninjau,C1
meniru,C1
menjelaskan,C1
menjodohkan,C1
mentabulasi,C1
menulis,C1
menuliskan,C1
menunjukkan,C1
menyalin,C1
menyatakan,C1
menyebutkan,C1
menyusun daftar,C1
mereproduksi,C1
melaporkan,C2
memahami,C2
membandingkan,C2
membedakan,C2
memberi contoh,C2
membuktikan,C2
memparafrasakan,C2
memperkirakan,C2
memperluas,C2
mempertahankan,C2
mempolakan,C2
memprediksi,C2
menafsirkan,C2
menampilkan,C2
menarik kesimpulan,C2
menceritakan,C2
mencirikan,C2
mencontohkan,C2
mendiskusikan,C2
menemukan,C2
menerangkan,C2
menerjemahkan,C2
mengamati,C2
mengartikan,C2
mengartikulasikan,C2
mengasosiasikan,C2
mengekstrapolasi,C2
mengembangkan,C2
mengemukakan,C2
menggali,C2
menggantikan,C2
menggeneralisasi,C2
menghitung,C2
menginterpolasi,C2
menginterpretasikan,C2
mengkarakterisasi,C2
mengkategorikan,C2
mengklarifikasi,C2
mengklasifikasikan,C2
mengkontraskan,C2
mengubah,C2
mengulang kembali,C2
mengungkapkan,C2
menguraikan,C2
meninjau,C2
menjabarkan,C2
menjalin,C2
menjelaskan,C2
menulis ulang,C2
menunjukkan,C2
menyadur,C2
menyimpulkan,C2
meramalkan,C2
merangkum,C2
merepresentasikan,C2
merinci,C2
meringkas,C2
bertindak,C3
melaksanakan,C3
melakukan,C3
melatih,C3
melengkapi,C3
melukis,C3
memanfaatkan,C3
memanipulasi,C3
membangun,C3
membiasakan,C3
membuat sketsa,C3
membuktikan,C3
memecahkan,C3
memilih,C3
memodifikasi,C3
memperagakan,C3
mempersoalkan,C3
mempraktikkan,C3
memproduksi,C3
memproses,C3
memproseskan,C3
mencadangkan,C3
mencegah,C3
mendemonstrasikan,C3
mendramatisasi,C3
menentukan,C3
menerapkan,C3
mengadaptasi,C3
mengaitkan,C3
mengemukakan,C3
menggali,C3
menggambarkan,C3
menggunakan,C3
menghasilkan,C3
menghitung,C3
menghubungkan,C3
mengilustrasikan,C3
mengimplementasikan,C3
mengkalkulasi,C3
mengklasifikasikan,C3
mengkonsepkan,C3
mengonsepkan,C3
mengoperasikan,C3
mengubah,C3
mengurutkan,C3
menilai,C3
menjadwalkan,C3
mentabulasi,C3
menugaskan,C3
menunjukkan,C3
menyelidiki,C3
menyesuaikan,C3
menyiapkan,C3
menyimulasikan,C3
menyusun,C3
meramalkan,C3
mewawancarai,C3
berdebat,C4
bereksperimen,C4
melatih,C4
memadukan,C4
memaksimalkan,C4
membagankan,C4
membagi,C4
membagi kecil,C4
membandingkan,C4
membangunkan,C4
membedah,C4
membedakan,C4
membuat diagram,C4
membuat garis besar,C4
membuat inventarisasi,C4
memecahkan,C4
memeriksa,C4
memerinci,C4
memerintahkan,C4
memfokuskan,C4
memilah-milah,C4
memilih,C4
memisahkan,C4
mempertanyakan,C4
mempertentangkan,C4
memprioritaskan,C4
mencerahkan,C4
mendeteksi,C4
mendiagnosis,C4
mendiagramkan,C4
mendiferensiasikan,C4
mendiskriminasi,C4
mendistribusikan,C4
menegaskan,C4
menelaah,C4
menemukan,C4
menerima pendapat,C4
mengaitkan,C4
menganalisis,C4
menganimasi,C4
mengategorikan,C4
mengatribusikan,C4
mengatur,C4
mengaudit,C4
mengedit,C4
mengelompokkan,C4
menghitung,C4
menghubungkan,C4
mengkorelasikan,C4
mengontraskan,C4
mengoreksi,C4
mengorganisasikan,C4
menguji,C4
mengukur,C4
mengumpulkan,C4
menguraikan,C4
menjelajah,C4
menominasikan,C4
mentransfer,C4
menunjukkan,C4
menyeleksi,C4
menyelidiki,C4
menyimpulkan,C4
menyurvei,C4
merasionalkan,C4
merinci,C4
berargumen,C5
melampirkan,C5
melepaskan,C5
membandingkan,C5
memberi argumentasi,C5
memberi nasihat,C5
memberi nilai,C5
memberi saran,C5
membuktikan,C5
memerinci,C5
memilih,C5
memisahkan,C5
memperbandingkan,C5
memperjelas,C5
mempertahankan,C5
mempertimbangkan,C5
memprediksi,C5
memproyeksikan,C5
memutuskan,C5
memvalidasi,C5
memverifikasi,C5
menafsirkan,C5
mendamaikan,C5
mendukung,C5
menengahi,C5
menentukan,C5
mengarahkan,C5
mengatur,C5
mengawasi,C5
mengecek,C5
mengetes,C5
mengevaluasi,C5
menghargai,C5
mengkritik,C5
mengukur,C5
mengutamakan,C5
