occupation_id,occupation_name,competency_unit
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),orang yang bertanggung jawab untuk memimpin dan mengelola teknologi informasi (ti) organisasi dengan menggunakan keterampilan teknis dan non-teknis untuk memastikan bahwa ti dapat mendukung strategi bisnis organisasi.
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),mengembangkan dan mengimplementasikan strategi teknologi informasi
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),mengelola dan mengoptimalkan aset ti
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),berintegritas
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),analitis
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),mengatasi masalah (problem-solving)
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),merencanakan dan mengorganisasi pekerjaan
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),memimpin tim
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),bertanggung jawab
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),mampu mengarahkan dan mempunyai visi
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),memberi motivasi
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),memimpin perubahan
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),mengembangkan dan menerapkan program kepatuhan tik perusahaan
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),melakukan pemantauan dan evaluasi kepatuhan perusahaan
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),memberikan saran dan nasihat kepada manajemen tentang kepatuhan tik
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),menyelesaikan masalah kepatuhan tik
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),meningkatkan kesadaran kepatuhan tik di seluruh perusahaan
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),mengembangkan dan mengimplementasikan kebijakan dan prosedur kepatuhan
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),melakukan pemantauan dan evaluasi kepatuhan
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),berkonsultasi dengan pihak-pihak terkait
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),"pengetahuan yang mendalam tentang hukum, peraturan, dan kebijakan yang berkaitan dengan teknologi informasi;"
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),kemampuan untuk berpikir strategis dan analitis;
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),kemampuan untuk berkomunikasi secara efektif.
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),manage innovation and continuous improvement (mengelola inovasi dan peningkatan berkelanjutan)
TIK.ITG0901,PEMIMPIN INFORMASI (CHIEF INFORMATION OFFICER),develop a knowledge management strategy (mengembangkan strategi manajemen pengetahuan)
