competency_unit,competency_unit_id,competency_unit_en,competency_embedding_text
assisting employees in the front-end developer position.,membantu karyawan di posisi pengembang front-end.,assisting employees in the front-end developer position.,membantu karyawan di posisi pengembang front-end. assisting employees in the front-end developer position.
learn about the latest web technologies and have a good understanding,belajar tentang teknologi web terbaru dan memiliki pemahaman yang baik,learn about the latest web technologies and have a good understanding,belajar tentang teknologi web terbaru dan memiliki pemahaman yang baik learn about the latest web technologies and have a good understanding
coordinate with the whole team,berkoordinasi dengan seluruh tim,coordinate with the whole team,berkoordinasi dengan seluruh tim coordinate with the whole team
responsible for ensuring the alignment of web design and users,bertanggung jawab untuk memastikan keselarasan desain web dan pengguna,responsible for ensuring the alignment of web design and users,bertanggung jawab untuk memastikan keselarasan desain web dan pengguna responsible for ensuring the alignment of web design and users
"learn about competencies in seo, sem, and ux/ui","belajar tentang kompetensi seo, sem, dan ux/ui","learn about competencies in seo, sem, and ux/ui","belajar tentang kompetensi seo, sem, dan ux/ui learn about competencies in seo, sem, and ux/ui"
develop internal competence in online digital assessment and observe industry trends in technology and business.,mengembangkan kompetensi internal dalam penilaian digital online dan mengamati tren industri di bidang teknologi dan bisnis.,develop internal competence in online digital assessment and observe industry trends in technology and business.,mengembangkan kompetensi internal dalam penilaian digital online dan mengamati tren industri di bidang teknologi dan bisnis. develop internal competence in online digital assessment and observe industry trends in technology and business.
"understand html, jquery","memahami html, jquery","understand html, jquery","memahami html, jquery understand html, jquery"
understand about gitflow and github,memahami tentang gitflow dan github,understand about gitflow and github,memahami tentang gitflow dan github understand about gitflow and github
"good skills in javascript, php, css, html, react.js, vue.js","keterampilan yang baik dalam javascript, php, css, html, react.js, vue.js","good skills in javascript, php, css, html, react.js, vue.js","keterampilan yang baik dalam javascript, php, css, html, react.js, vue.js good skills in javascript, php, css, html, react.js, vue.js"
personality trait,sifat kepribadian,personality trait,sifat kepribadian personality trait
result oriented,berorientasi pada hasil,result oriented,berorientasi pada hasil result oriented
critical thinking,berpikir kritis,critical thinking,berpikir kritis critical thinking
