kode_cpl,kkni_no,cpl_text,kkni_description,similarity_score
CPL-TIF-01,4,memiliki kepribadian beriman bertaqwa tuhan yme berbudi pekerti luhur tanggung kemasyarakatan kebangsaan menjunjung norma etika berlaku masyarakat jiwa kewirausahaan kuat b,Bertanggung jawab pada pekerjaan sendiri dan dapat diberi tanggung jawab atas pencapaian hasil kerja organisasi.,0.42545965
CPL-TIF-02,1,bersaing pasar global pengetahuan kemampuan memadai terkait penerapan teknik informatikateknologi informasi organisasi c,"Mampu mengaplikasikan bidang keahliannya dan memanfaatkan ilmu pengetahuan, teknologi, dan/atau seni pada bidangnya dalam penyelesaian masalah serta mampu beradaptasi terhadap situasi yang dihadapi.",0.5076175
CPL-TIF-03,2,memiliki pengetahuan memadai terkait membangun teknik informatika berdasarkan metodologi teruji diterapkan internasional,"Menguasai konsep teoritis bidang pengetahuan tertentu secara umum dan konsep teoritis bagian khusus dalam bidang pengetahuan tersebut secara mendalam, serta mampu memformulasikan penyelesaian masalah prosedural.",0.55255497
CPL-TIF-04,2,meningkatkan pengetahuan kemampuan terkait pemanfaatan database mendukung perkembangan teknologi informasi e,"Menguasai konsep teoritis bidang pengetahuan tertentu secara umum dan konsep teoritis bagian khusus dalam bidang pengetahuan tersebut secara mendalam, serta mampu memformulasikan penyelesaian masalah prosedural.",0.41942838
CPL-TIF-05,3,kemampuan komunikasi mendefinisikan kebutuhan organisasi teknik informatika detail f,"Mampu mengambil keputusan yang tepat berdasarkan analisis informasi dan data, dan mampu memberikan petunjuk dalam memilih berbagai alternatif solusi secara mandiri dan kelompok.",0.32310578
CPL-TIF-06,4,desain holistik model arsitektur teknik informatika mendukung organisasi bisnisnya standar internasional g,Bertanggung jawab pada pekerjaan sendiri dan dapat diberi tanggung jawab atas pencapaian hasil kerja organisasi.,0.40294224
CPL-TIF-07,1,memiliki keahlian bidang bisnis teknologi konseptual praktikal melanjutkan studi bidang teknik informatika teknologi informasi,"Mampu mengaplikasikan bidang keahliannya dan memanfaatkan ilmu pengetahuan, teknologi, dan/atau seni pada bidangnya dalam penyelesaian masalah serta mampu beradaptasi terhadap situasi yang dihadapi.",0.71907794
CPL-TIF-08,1,mengembangkan kepribadian berkualitas berintegritas bersemangat kemandirian inovatifkreatif didukung penguasaan teknologi teknik informatika konseptual praktikal b,"Mampu mengaplikasikan bidang keahliannya dan memanfaatkan ilmu pengetahuan, teknologi, dan/atau seni pada bidangnya dalam penyelesaian masalah serta mampu beradaptasi terhadap situasi yang dihadapi.",0.6143592
CPL-TIF-09,4,berkontribusi meningkatkan pemberdayaan masyarakat berbasis pengetahuan bidang teknik informatika penerapan keilmuan pemenuhan prinsipprinsip etika pengembagan ilmu pengetahuan teknologi informasi penelitian kebutuhan masyarakat mengatasi permasalahannya,Bertanggung jawab pada pekerjaan sendiri dan dapat diberi tanggung jawab atas pencapaian hasil kerja organisasi.,0.33297616
CPL-TIF-10,3,meningkatkan kemampuan komunikasi efektif lisan tertulis kontribusi manfaat positif organisasi memahami ketentuan hukum berlaku tatanannorma masyarakat b,"Mampu mengambil keputusan yang tepat berdasarkan analisis informasi dan data, dan mampu memberikan petunjuk dalam memilih berbagai alternatif solusi secara mandiri dan kelompok.",0.31260383
CPL-TIF-11,4,wawasan keilmuan keunggulan bidang teknik informatika berkarya pengalaman kerja meningkatkan sikap mental kewirausahaan profesional,Bertanggung jawab pada pekerjaan sendiri dan dapat diberi tanggung jawab atas pencapaian hasil kerja organisasi.,0.47316584
