course_code,course_name,course_text,rps_skill_category,matched_cpl_count,matched_cpl_codes,matched_cpl_texts,matched_cpl_similarities_raw,top_k_average_similarity,best_similarity,alignment_status
FTK101,Algoritma & Pemrograman,"Deskripsi Mata Kuliah Mata kuliah ini bertujuan untuk memberikan pengetahuan dan keterampilan kepada mahasiswa tentang bagaimana merancang logika pemrograman komputer dalam konvensi struktural dengan menggunakan algoritma dan implementasi praktisnya dalam bentuk diagram alur tujuan kursus setelah menyelesaikan kursus, siswa harus dapat kursus ini menggunakan pendekatan independen bahasa untuk mengajarkan konsep pemrograman dan keterampilan pemecahan masalah, tanpa mengasumsikan pengalaman pemrograman sebelumnya. menerapkan diagram alur untuk menunjukkan kompetensi keterampilan pemecahan masalah. memahami topik dasar seperti tipe data, variabel, input, output, struktur kontrol, modul, fungsi, array, dan file yang dibahas serta konsep berorientasi objek, pengembangan gui, dan pemrograman berbasis peristiwa. metode pengajaran pengajaran di kelas terdiri dari ceramah dan pemecahan masalah praktis, dilengkapi dengan alat bantu visual yang dirancang untuk membantu siswa agar berhasil mencapai tujuan pembelajaran kursus.",Hard,5,CPL-TIF-05 | CPL-TIF-03 | CPL-TIF-07 | CPL-TIF-06 | CPL-TIF-09,mempunyai kemampuan komunikasi dalam mendefinisikan kebutuhan organisasi akan teknik informatika secara detail dan menyeluruh f | memiliki pengetahuan yang memadai terkait dengan cara membangun teknik informatika berdasarkan metodologi yang teruji dan diterapkan secara internasional d | memiliki keahlian bidang bisnis dan teknologi baik secara konseptual maupun praktikal dan mampu melanjutkan studi di bidang teknik informatika dan teknologi informasi 2 | mampu membuat desain secara holistik sebuah model dan arsitektur teknik informatika yang mendukung organisasi dan bisnisnya dengan menggunakan standar internasional g | mampu berkontribusi dalam meningkatkan pemberdayaan masyarakat berbasis pengetahuan di bidang teknik informatika melalui penerapan keilmuan pemenuhan prinsipprinsip etika dan pengembagan ilmu pengetahuan dan teknologi informasi penelitian untuk menjawab kebutuhan masyarakat dalam mengatasi permasalahannya 3,0.4226 | 0.4076 | 0.398 | 0.3968 | 0.3811,0.4012,0.4226,Not Aligned
FTK103,Pemrograman Visual,"deskripsi kursus kursus ini dimaksudkan untuk digunakan dalam kursus pengantar pemrograman. ini dirancang agar siswa dapat memahami bahasa pemrograman visual basic 2010. topik utama termasuk pemecahan masalah dan pernyataan kontrol, array, file, gui formulir windows, dan grafik. tujuan kursus setelah menyelesaikan kursus siswa harus dapat memahami konsep dasar lingkungan pengembangan terintegrasi visual studio (ide) yang membantu siswa dalam menulis, menjalankan dan men-debug program visual basic. membuat dan mendemonstrasikan bagaimana program dapat menampilkan informasi di layar dan memperoleh informasi dari pengguna di keyboard untuk diproses. memahami antarmuka pengguna grafis (gui) untuk memungkinkan pengguna berinteraksi secara visual dengan program. memahami array variabel berdimensi tunggal dan multidimensi. dimulai dengan membuat dan mengakses array, lalu melakukan manipulasi array yang lebih kompleks, termasuk menjumlahkan elemen array, menggunakan array untuk meringkas hasil survei, mencari array untuk nilai tertentu, dan mengurutkan array sehingga elemen-elemennya berada dalam urutan menaik. menjadi akrab dengan pemrosesan file akses berurutan, menulis dan membaca dari file. untuk menggunakan pemrosesan file untuk mengimplementasikan aplikasi bisnis dan menggunakan kelas streamwriter dan streamreader untuk menulis teks dan membaca teks dari file. metode pengajaran pengajaran di kelas terdiri dari ceramah dan pemecahan masalah praktis, dilengkapi dengan alat bantu visual yang dirancang untuk membantu siswa agar berhasil mencapai tujuan pembelajaran kursus.",Hard,5,CPL-TIF-04 | CPL-TIF-07 | CPL-TIF-05 | CPL-TIF-06 | CPL-TIF-09,mampu meningkatkan pengetahuan dan kemampuan terkait pemanfaatan database dalam mendukung perkembangan teknologi informasi e | memiliki keahlian bidang bisnis dan teknologi baik secara konseptual maupun praktikal dan mampu melanjutkan studi di bidang teknik informatika dan teknologi informasi 2 | mempunyai kemampuan komunikasi dalam mendefinisikan kebutuhan organisasi akan teknik informatika secara detail dan menyeluruh f | mampu membuat desain secara holistik sebuah model dan arsitektur teknik informatika yang mendukung organisasi dan bisnisnya dengan menggunakan standar internasional g | mampu berkontribusi dalam meningkatkan pemberdayaan masyarakat berbasis pengetahuan di bidang teknik informatika melalui penerapan keilmuan pemenuhan prinsipprinsip etika dan pengembagan ilmu pengetahuan dan teknologi informasi penelitian untuk menjawab kebutuhan masyarakat dalam mengatasi permasalahannya 3,0.369 | 0.3685 | 0.3562 | 0.3395 | 0.3332,0.3533,0.369,Not Aligned
FTK111,Kalkulus 1,"course description mata kuliah ini dimaksudkan untuk memberi kemampuan pada mahasiswa tentang konsep – konsep matematika mengenai limit fungsi, kekontinuan turunan, fungsi transenden , integral tentu dan tak tentu, definisi, sifat sifat dan teorema terkait beserta aplikasinya serta mampu menerapkannya dalam penyelesaian soal. materi perkuliahan meliputi limit fungsi dan kekontinuan; definisi, sifat sifat dan rumus – rumus turunan beserta aplikasinya; definisi dan sifat – sifat fungsi transenden beserta aplikasinya; definisi, sifat sifat, rumus – rumus integral tak tentu dan integral tentu. methods instruction /metode pembelajaran instruksi kelas online terdiri dari ceramah dan pemecahan masalah praktis, dilengkapi dengan alat bantu visual yang dirancang untuk membantu siswa untuk berhasil memenuhi tujuan program pembelajaran.",Hard,5,CPL-TIF-05 | CPL-TIF-07 | CPL-TIF-03 | CPL-TIF-09 | CPL-TIF-10,mempunyai kemampuan komunikasi dalam mendefinisikan kebutuhan organisasi akan teknik informatika secara detail dan menyeluruh f | memiliki keahlian bidang bisnis dan teknologi baik secara konseptual maupun praktikal dan mampu melanjutkan studi di bidang teknik informatika dan teknologi informasi 2 | memiliki pengetahuan yang memadai terkait dengan cara membangun teknik informatika berdasarkan metodologi yang teruji dan diterapkan secara internasional d | mampu berkontribusi dalam meningkatkan pemberdayaan masyarakat berbasis pengetahuan di bidang teknik informatika melalui penerapan keilmuan pemenuhan prinsipprinsip etika dan pengembagan ilmu pengetahuan dan teknologi informasi penelitian untuk menjawab kebutuhan masyarakat dalam mengatasi permasalahannya 3 | mampu meningkatkan kemampuan komunikasi efektif secara lisan dan tertulis dalam memberikan kontribusi manfaat yang positif bagi organisasi dengan memahami ketentuan hukum yang berlaku serta tatanannorma dalam masyarakat b,0.3586 | 0.3181 | 0.2958 | 0.2829 | 0.2475,0.3006,0.3586,Not Aligned
FTK121,Aljabar Linear,"Deskripsi Mata Kuliah Mata kuliah ini memberikan pemahaman penerapan matematika pada aljabar linier dan matriks. topiknya adalah topik luas yang mencakup banyak subjek berbeda. mata kuliah aljabar dan matriks linier yang ditawarkan yaitu matriks dan sistem persamaan, matriks determinan, ruang vektor, transformasi linier atau thogonalitas, nilai eigen, dan aljabar linier numerik. Mata kuliah ini memberikan dasar atau dasar bagi mahasiswa dalam teori dan praktek tentang aljabar liner dan matriks untuk sistem informasi. tujuan kursus setelah menyelesaikan kursus ini, siswa harus mampu (cid 136) mendemonstrasikan pemahaman tentang matriks dan sistem persamaan linier; (cid 136) menunjukkan pemahaman tentang matriks determinan; (cid 136) mendemonstrasikan pemahaman tentang ruang vektor; (cid 136) mendemonstrasikan pemahaman tentang transformasi linier; (cid 136) menunjukkan pemahaman tentang ortogonalitas dan nilai eigen. metode pengajaran pengajaran kelas virtual terdiri dari ceramah dan pemecahan masalah praktis, dilengkapi dengan alat bantu visual yang dirancang untuk membantu siswa mencapai tujuan pembelajaran kursus dan diskusi interaktif di kelas virtual melalui portal akademik gerbang informasi bakrie v sangat penting bagi siswa untuk mengambil minat aktif dalam kursus. untuk berhasil dalam mata kuliah ini, siswa harus membaca, berpikir, dan menulis secara kritis dan analitis dan ini membutuhkan waktu dan latihan. latihan seperti itu hanya dapat dicapai dengan latihan kerja. ketika masalah muncul, dan masalah itu akan terjadi, siswa harus mengajukan pertanyaan yang mungkin ditujukan kepada instruktur atau siswa lain dalam berbagai cara. siswa juga didorong untuk bekerja sama dalam kumpulan masalah sebagai bagian dari latihan mereka. namun, individu pada akhirnya harus menunjukkan pemahaman materi dengan menuliskan solusinya sendiri tanpa bantuan siswa lain atau karya tertulis mereka. rata-rata siswa perlu menghabiskan setidaknya 6 jam belajar dan persiapan per minggu untuk kursus ini. f silabus ppkr1 ftk121 (rencana pembelajaran semester)",Hard,5,CPL-TIF-05 | CPL-TIF-09 | CPL-TIF-07 | CPL-TIF-03 | CPL-TIF-06,mempunyai kemampuan komunikasi dalam mendefinisikan kebutuhan organisasi akan teknik informatika secara detail dan menyeluruh f | mampu berkontribusi dalam meningkatkan pemberdayaan masyarakat berbasis pengetahuan di bidang teknik informatika melalui penerapan keilmuan pemenuhan prinsipprinsip etika dan pengembagan ilmu pengetahuan dan teknologi informasi penelitian untuk menjawab kebutuhan masyarakat dalam mengatasi permasalahannya 3 | memiliki keahlian bidang bisnis dan teknologi baik secara konseptual maupun praktikal dan mampu melanjutkan studi di bidang teknik informatika dan teknologi informasi 2 | memiliki pengetahuan yang memadai terkait dengan cara membangun teknik informatika berdasarkan metodologi yang teruji dan diterapkan secara internasional d | mampu membuat desain secara holistik sebuah model dan arsitektur teknik informatika yang mendukung organisasi dan bisnisnya dengan menggunakan standar internasional g,0.3142 | 0.2958 | 0.2707 | 0.2504 | 0.2346,0.2732,0.3142,Not Aligned
FTK151,Metodologi Penelitian dan Ilmiah,"Deskripsi Mata Kuliah Mata kuliah ini akan memberikan pemahaman tentang konsep dan teori metode penelitian. akan memberikan gambaran tentang konsep-konsep penting desain penelitian, pengumpulan data, teknik, metode, dan analisis interpretatif, serta penyajian laporan akhir. metode pengajaran /metode pembelajaran pengajaran di kelas terdiri dari ceramah, studi kasus dan pemecahan masalah praktis, dilengkapi dengan alat bantu visual yang dirancang untuk membantu siswa agar berhasil mencapai tujuan pembelajaran mata kuliah. sangat penting bahwa siswa mengambil minat aktif dalam kursus. untuk berhasil dalam mata kuliah ini, siswa harus membaca, berpikir, dan menulis secara kritis dan analitis dan ini membutuhkan waktu dan latihan. latihan seperti itu hanya dapat dicapai dengan latihan kerja. ketika masalah muncul, dan masalah itu akan terjadi, siswa harus mengajukan pertanyaan yang mungkin ditujukan kepada instruktur atau siswa lain dalam berbagai cara. siswa juga didorong untuk bekerja sama dalam kumpulan masalah sebagai bagian dari latihan mereka. namun, individu pada akhirnya harus menunjukkan pemahaman materi dengan menuliskan solusinya sendiri tanpa bantuan siswa lain atau karya tertulis mereka. rata-rata siswa perlu menghabiskan setidaknya 6 jam belajar dan persiapan per minggu untuk kursus ini.",Hard,5,CPL-TIF-09 | CPL-TIF-03 | CPL-TIF-07 | CPL-TIF-11 | CPL-TIF-05,mampu berkontribusi dalam meningkatkan pemberdayaan masyarakat berbasis pengetahuan di bidang teknik informatika melalui penerapan keilmuan pemenuhan prinsipprinsip etika dan pengembagan ilmu pengetahuan dan teknologi informasi penelitian untuk menjawab kebutuhan masyarakat dalam mengatasi permasalahannya 3 | memiliki pengetahuan yang memadai terkait dengan cara membangun teknik informatika berdasarkan metodologi yang teruji dan diterapkan secara internasional d | memiliki keahlian bidang bisnis dan teknologi baik secara konseptual maupun praktikal dan mampu melanjutkan studi di bidang teknik informatika dan teknologi informasi 2 | mampu memberikan wawasan keilmuan dan keunggulan dalam bidang teknik informatika untuk berkarya melalui pengalaman kerja serta meningkatkan sikap dan mental kewirausahaan secara profesional | mempunyai kemampuan komunikasi dalam mendefinisikan kebutuhan organisasi akan teknik informatika secara detail dan menyeluruh f,0.4979 | 0.4754 | 0.4462 | 0.4163 | 0.4132,0.4498,0.4979,Not Aligned
FTK161,Statistika,"course description deskripsi matakuliah describe subject matter, approach, breadth, and applicability of the course. [penjelasan ini biasanya merujuk pada garis garis besar program pengajaran yang terkait dengan kurikulum] tujuan mata kuliah sasaran kompetensi gaji yang dibebankan pada mata kuliah ini setelah menyelesaikan mata kuliah ini mahasiswa harus mampu  mengumpulkan, mengorganisasikan, menyajikan, menganalisis dan menginterpretasikan data dengan menggunakan ukuran numerik dan penyajian grafis  mahasiswa diharapkan mampu memahami probabilitas  mahasiswa diharapkan mampu memahami variabel acak diskrit  mahasiswa diharapkan mampu memahami variabel acak diskrit (lanjutan) dan variabel acak kontinu metode pengajaran metode pembelajaran kooperatif, pembelajaran berbasis masalah, model pembelajaran kontekstual, metode pengajaran kuantum, tutorial, diskusi, ceramah, studi kasus. siswa diharapkan sudah membaca materi sebelum kelas.",Hard,5,CPL-TIF-05 | CPL-TIF-07 | CPL-TIF-11 | CPL-TIF-03 | CPL-TIF-04,mempunyai kemampuan komunikasi dalam mendefinisikan kebutuhan organisasi akan teknik informatika secara detail dan menyeluruh f | memiliki keahlian bidang bisnis dan teknologi baik secara konseptual maupun praktikal dan mampu melanjutkan studi di bidang teknik informatika dan teknologi informasi 2 | mampu memberikan wawasan keilmuan dan keunggulan dalam bidang teknik informatika untuk berkarya melalui pengalaman kerja serta meningkatkan sikap dan mental kewirausahaan secara profesional | memiliki pengetahuan yang memadai terkait dengan cara membangun teknik informatika berdasarkan metodologi yang teruji dan diterapkan secara internasional d | mampu meningkatkan pengetahuan dan kemampuan terkait pemanfaatan database dalam mendukung perkembangan teknologi informasi e,0.3875 | 0.2863 | 0.2663 | 0.2546 | 0.2489,0.2887,0.3875,Not Aligned
FTK203,Sistem Basis Data,"Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know. tujuan mata kuliah Setelah menyelesaikan mata kuliah ini, mahasiswa diharapkan dapat menjelaskan konsep dasar sistem basis data; menjelaskan konsep dasar sistem arsitektur basis data dan aplikasinya; menjelaskan konsep utama pengendalian transaksi dan konkurensi dalam sistem basis data untuk merancang sistem basis data konseptual, logis dan fisik berdasarkan kasus tertentu dengan menggunakan dua pendekatan yang berbeda; menerapkan konsep model relasional pada struktur bahasa query (sql); menerapkan konsep model relasional pada bahasa query struktur lanjutan (sql); membuat sistem basis data relasional dengan menggunakan sistem manajemen basis data relasional (rdbms); metode pengajaran pengajaran di kelas terdiri dari ceramah dan pemecahan masalah praktis, dilengkapi dengan alat bantu visual yang dirancang untuk membantu siswa agar berhasil memenuhi tujuan pembelajaran kursus. sangat penting bahwa siswa mengambil minat aktif dalam kursus. untuk berhasil dalam mata kuliah ini, siswa harus membaca, berpikir, dan menulis secara kritis dan analitis dan ini membutuhkan waktu dan latihan. latihan seperti itu hanya dapat dicapai dengan latihan kerja. ketika masalah muncul, dan masalah itu akan terjadi, siswa harus mengajukan pertanyaan yang mungkin ditujukan kepada instruktur atau siswa lain dalam berbagai cara. siswa juga didorong untuk bekerja secara individu maupun bersama-sama dalam memecahkan masalah sebagai bagian dari latihan mereka. namun, individu pada akhirnya harus menunjukkan pemahaman tentang substansi dengan menuliskan solusinya sendiri. Selain itu, akan ada lokakarya/penugasan kelas dan presentasi baik secara tertulis maupun lisan untuk mengevaluasi tingkat pengetahuan dan keterampilan mahasiswa pada mata kuliah ini. Tes tengah dilakukan untuk mengevaluasi tingkat pengetahuan dan keterampilan siswa pada mata kuliah ini. dan, tes akhir dilakukan oleh siswa sebagai proyek kelompok. metode pengajaran yang digunakan adalah pembelajaran yang berpusat pada siswa. dengan menerapkan metode ini, siswa dilibatkan untuk memecahkan masalah atau pertanyaan yang diberikan dalam diskusi kelompok kecil. mahasiswa juga dapat mengambil catatan kuliah melalui sistem manajemen kursus online. f silabus ppkr1 ftk203 (rencana pembelajaran semester)",Hard,5,CPL-TIF-04 | CPL-TIF-05 | CPL-TIF-02 | CPL-TIF-09 | CPL-TIF-07,mampu meningkatkan pengetahuan dan kemampuan terkait pemanfaatan database dalam mendukung perkembangan teknologi informasi e | mempunyai kemampuan komunikasi dalam mendefinisikan kebutuhan organisasi akan teknik informatika secara detail dan menyeluruh f | mampu bersaing di pasar global dengan pengetahuan dan kemampuan yang memadai terkait penerapan teknik informatikateknologi informasi dalam organisasi c | mampu berkontribusi dalam meningkatkan pemberdayaan masyarakat berbasis pengetahuan di bidang teknik informatika melalui penerapan keilmuan pemenuhan prinsipprinsip etika dan pengembagan ilmu pengetahuan dan teknologi informasi penelitian untuk menjawab kebutuhan masyarakat dalam mengatasi permasalahannya 3 | memiliki keahlian bidang bisnis dan teknologi baik secara konseptual maupun praktikal dan mampu melanjutkan studi di bidang teknik informatika dan teknologi informasi 2,0.4989 | 0.4086 | 0.4021 | 0.3888 | 0.3825,0.4162,0.4989,Not Aligned
FTK205,LAN and Wireless,"Deskripsi Mata Kuliah Mata kuliah ini memperkenalkan arsitektur, struktur, fungsi, komponen, dan model internet dan jaringan komputer lainnya. siswa mencapai pemahaman dasar tentang bagaimana jaringan beroperasi dan bagaimana membangun jaringan area lokal (lan) sederhana, melakukan konfigurasi dasar untuk router dan switch, dan mengimplementasikan protokol internet (ip). Selain itu, aktivitas packet tracer (pt) memperkuat konsep baru, dan memungkinkan siswa untuk memodelkan dan menganalisis proses routing yang mungkin sulit untuk divisualisasikan atau dipahami. tujuan kursus kurikulum ini membekali siswa dengan keterampilan yang dibutuhkan untuk berhasil dalam program gelar terkait jaringan dan membantu mereka mempersiapkan sertifikasi ccna. ini juga membantu siswa mengembangkan keterampilan yang diperlukan untuk memenuhi tanggung jawab pekerjaan teknisi jaringan, administrator jaringan, dan insinyur jaringan. ini memberikan pengenalan langsung tentang jaringan dan internet yang kaya secara teoritis. tujuan kursus ini adalah untuk memperkenalkan konsep dan teknologi jaringan dasar kepada siswa. kursus ini akan membantu siswa dalam mengembangkan keterampilan yang diperlukan untuk merencanakan dan mengimplementasikan jaringan kecil di berbagai aplikasi. pada akhir kursus, siswa akan mampu membangun jaringan area lokal (LAN) sederhana, melakukan konfigurasi dasar untuk router dan switch, dan mengimplementasikan skema pengalamatan ip. setelah menyelesaikan kursus ini, siswa harus dapat (cid 136) mengkonfigurasi sakelar dan perangkat akhir untuk menyediakan akses ke sumber daya jaringan lokal dan jarak jauh. (cid 136) menjelaskan bagaimana protokol lapisan fisik dan data link mendukung pengoperasian ethernet dalam jaringan switch. (cid 136) mengkonfigurasi router untuk mengaktifkan konektivitas ujung ke ujung antar perangkat jarak jauh. (cid 136) membuat skema pengalamatan ipv4 dan ipv6 dan memverifikasi konektivitas jaringan antar perangkat. (cid 136) menjelaskan bagaimana lapisan atas model osi mendukung aplikasi jaringan. (cid 136) mengkonfigurasi jaringan kecil dengan praktik keamanan terbaik. (cid 136) memecahkan masalah konektivitas di jaringan kecil. metode pengajaran pengajaran di kelas terdiri dari ceramah dan pemecahan masalah praktis, dilengkapi dengan alat bantu visual yang dirancang untuk membantu siswa agar berhasil mencapai tujuan pembelajaran kursus. f silabus ppkr1 ftk205 tif41 w (rencana pembelajaran semester) mata kuliah disampaikan dalam kombinasi berbasis kelas dan berbasis praktik. praktikum akan dilakukan dalam beberapa mode berbeda antara lain simulator jaringan packet tracer dan praktik langsung menggunakan router, switch dan access point di lingkungan laboratorium. sangat penting bahwa siswa mengambil minat aktif dalam kursus. untuk berhasil dalam mata kuliah ini, siswa harus membaca, berpikir, dan menulis secara kritis dan analitis dan ini membutuhkan waktu dan latihan. latihan seperti itu hanya dapat dicapai dengan latihan kerja. ketika masalah muncul, dan masalah itu akan terjadi, siswa harus mengajukan pertanyaan yang mungkin ditujukan kepada instruktur atau siswa lain dalam berbagai cara. siswa juga didorong untuk bekerja sama dalam kumpulan masalah sebagai bagian dari latihan mereka. namun, individu pada akhirnya harus menunjukkan pemahaman materi dengan menuliskan solusinya sendiri tanpa bantuan siswa lain atau karya tertulis mereka. rata-rata siswa perlu menghabiskan setidaknya 6 jam belajar dan persiapan per minggu untuk kursus ini.",Hard,5,CPL-TIF-05 | CPL-TIF-07 | CPL-TIF-06 | CPL-TIF-03 | CPL-TIF-09,mempunyai kemampuan komunikasi dalam mendefinisikan kebutuhan organisasi akan teknik informatika secara detail dan menyeluruh f | memiliki keahlian bidang bisnis dan teknologi baik secara konseptual maupun praktikal dan mampu melanjutkan studi di bidang teknik informatika dan teknologi informasi 2 | mampu membuat desain secara holistik sebuah model dan arsitektur teknik informatika yang mendukung organisasi dan bisnisnya dengan menggunakan standar internasional g | memiliki pengetahuan yang memadai terkait dengan cara membangun teknik informatika berdasarkan metodologi yang teruji dan diterapkan secara internasional d | mampu berkontribusi dalam meningkatkan pemberdayaan masyarakat berbasis pengetahuan di bidang teknik informatika melalui penerapan keilmuan pemenuhan prinsipprinsip etika dan pengembagan ilmu pengetahuan dan teknologi informasi penelitian untuk menjawab kebutuhan masyarakat dalam mengatasi permasalahannya 3,0.4782 | 0.4256 | 0.3854 | 0.3828 | 0.3729,0.409,0.4782,Not Aligned
FTK206,Pemrograman Berorientasi Objek,"Deskripsi Mata Kuliah Mata kuliah ini bertujuan untuk memberikan mahasiswa landasan luas dalam konsep dasar pemrograman berorientasi objek disertai dengan praktikum khusus untuk mengembangkan keterampilan dasar pemrograman berorientasi objek dengan java. ini memperkenalkan konsep dasar dan prinsip pendekatan berorientasi objek seperti prinsip abstraksi dan enkapsulasi, kelas, objek dan konsep konstruktor, prinsip penyembunyian informasi dan konsep pengakses. metode, penyampaian pesan dan prinsip-prinsip kelebihan muatan Tujuan mata kuliah Setelah menyelesaikan mata kuliah mahasiswa harus mampu menggunakan pendekatan berorientasi objek untuk menguraikan suatu masalah dan menghasilkan program berorientasi objek sebagai solusi masalah tersebut. menggunakan kelas dan instance untuk mengembangkan program sebagai kumpulan komponen yang berkomunikasi. mendeskripsikan dan menggunakan notasi uml untuk mengembangkan diagram kelas. mengkolaborasikan konsep prinsip abstraksi dan enkapsulasi yang berkonsentrasi pada pewarisan dan polimorfisme. memecahkan masalah secara rekursif. memahami dan menggunakan konsep dasar pemrograman prosedural bahasa tingkat tinggi; program utama, deklarasi, pernyataan penugasan, pernyataan i/o, pernyataan pemilihan, pernyataan loop, pernyataan pemanggilan metode, pernyataan vs. ekspresi. menangani pengecualian program dengan benar. mendefinisikan, menggunakan dan merekonstruksi file. mengidentifikasi dan menggunakan struktur data dasar (daftar tertaut, tumpukan, antrian). menganalisis, merancang dan mengimplementasikan program oo. menggunakan metode dan kelas generik sederhana. gunakan komponen gui sederhana. metode pengajaran pengajaran di kelas terdiri dari ceramah dan pemecahan masalah praktis, dilengkapi dengan alat bantu visual yang dirancang untuk membantu siswa agar berhasil mencapai tujuan pembelajaran kursus. f silabus ppkr1 ftk206/tif41 (rencana pembelajaran semester)",Hard,5,CPL-TIF-05 | CPL-TIF-06 | CPL-TIF-07 | CPL-TIF-11 | CPL-TIF-09,mempunyai kemampuan komunikasi dalam mendefinisikan kebutuhan organisasi akan teknik informatika secara detail dan menyeluruh f | mampu membuat desain secara holistik sebuah model dan arsitektur teknik informatika yang mendukung organisasi dan bisnisnya dengan menggunakan standar internasional g | memiliki keahlian bidang bisnis dan teknologi baik secara konseptual maupun praktikal dan mampu melanjutkan studi di bidang teknik informatika dan teknologi informasi 2 | mampu memberikan wawasan keilmuan dan keunggulan dalam bidang teknik informatika untuk berkarya melalui pengalaman kerja serta meningkatkan sikap dan mental kewirausahaan secara profesional | mampu berkontribusi dalam meningkatkan pemberdayaan masyarakat berbasis pengetahuan di bidang teknik informatika melalui penerapan keilmuan pemenuhan prinsipprinsip etika dan pengembagan ilmu pengetahuan dan teknologi informasi penelitian untuk menjawab kebutuhan masyarakat dalam mengatasi permasalahannya 3,0.4601 | 0.4531 | 0.4443 | 0.437 | 0.4192,0.4428,0.4601,Not Aligned
FTK211,Kalkulus 2,"course description mata kuliah ini akan mencakup kalkulus variabel tunggal konsep aplikasi integrasi; fungsi logaritma dan eksponensial; teknik integrasi; urutan dan seri tak terbatas, dan seri power. methods instruction /metode pembelajaran instruksi kelas online terdiri dari ceramah dan pemecahan masalah praktis, dilengkapi dengan alat bantu visual yang dirancang untuk membantu siswa untuk berhasil memenuhi tujuan program pembelajaran.",Hard,5,CPL-TIF-03 | CPL-TIF-07 | CPL-TIF-05 | CPL-TIF-04 | CPL-TIF-09,memiliki pengetahuan yang memadai terkait dengan cara membangun teknik informatika berdasarkan metodologi yang teruji dan diterapkan secara internasional d | memiliki keahlian bidang bisnis dan teknologi baik secara konseptual maupun praktikal dan mampu melanjutkan studi di bidang teknik informatika dan teknologi informasi 2 | mempunyai kemampuan komunikasi dalam mendefinisikan kebutuhan organisasi akan teknik informatika secara detail dan menyeluruh f | mampu meningkatkan pengetahuan dan kemampuan terkait pemanfaatan database dalam mendukung perkembangan teknologi informasi e | mampu berkontribusi dalam meningkatkan pemberdayaan masyarakat berbasis pengetahuan di bidang teknik informatika melalui penerapan keilmuan pemenuhan prinsipprinsip etika dan pengembagan ilmu pengetahuan dan teknologi informasi penelitian untuk menjawab kebutuhan masyarakat dalam mengatasi permasalahannya 3,0.3288 | 0.2929 | 0.2845 | 0.2671 | 0.2521,0.2851,0.3288,Not Aligned
FTK221,Kewirausahaan Berbasis Teknologi,"Deskripsi Mata Kuliah Mata kuliah ini berisi prosedur dan dasar terpadu mengenai proses kreatif, pemikiran kreatif dan pemikiran desain Metode pengajaran/metode pembelajaran mata kuliah ini akan dilakukan dengan cara ceramah, studi kasus dan diskusi kelompok. dosen, lebih banyak berperan sebagai fasilitator dibandingkan memberi ceramah",Hard,5,CPL-TIF-11 | CPL-TIF-05 | CPL-TIF-10 | CPL-TIF-07 | CPL-TIF-09,mampu memberikan wawasan keilmuan dan keunggulan dalam bidang teknik informatika untuk berkarya melalui pengalaman kerja serta meningkatkan sikap dan mental kewirausahaan secara profesional | mempunyai kemampuan komunikasi dalam mendefinisikan kebutuhan organisasi akan teknik informatika secara detail dan menyeluruh f | mampu meningkatkan kemampuan komunikasi efektif secara lisan dan tertulis dalam memberikan kontribusi manfaat yang positif bagi organisasi dengan memahami ketentuan hukum yang berlaku serta tatanannorma dalam masyarakat b | memiliki keahlian bidang bisnis dan teknologi baik secara konseptual maupun praktikal dan mampu melanjutkan studi di bidang teknik informatika dan teknologi informasi 2 | mampu berkontribusi dalam meningkatkan pemberdayaan masyarakat berbasis pengetahuan di bidang teknik informatika melalui penerapan keilmuan pemenuhan prinsipprinsip etika dan pengembagan ilmu pengetahuan dan teknologi informasi penelitian untuk menjawab kebutuhan masyarakat dalam mengatasi permasalahannya 3,0.4556 | 0.4117 | 0.4111 | 0.3937 | 0.3848,0.4114,0.4556,Not Aligned
