NIM,NAMA,NAMA_MATAKULIAH,SKS,GRADE,NILAI_ANGKA,Tingkat_Ketercapaian,Status_Lulus,PERIODE,tahun,semester,tahun_akademik
Mahasiswa 1,Mahasiswa 1,Agama,2,A,4.0,Sangat Baik,Lulus,20211,2021,Ganjil,2021-2022
Mahasiswa 1,Mahasiswa 1,Algoritma dan Pemrograman,4,A,4.0,Sangat Baik,Lulus,20211,2021,Ganjil,2021-2022
Mahasiswa 1,Mahasiswa 1,Aljabar Linier,3,B+,3.33,Baik,Lulus,20211,2021,Ganjil,2021-2022
Mahasiswa 1,Mahasiswa 1,Arsitektur dan Organisasi Komputer,3,A,4.0,Sangat Baik,Lulus,20222,2022,Genap,2022-2023
Mahasiswa 1,Mahasiswa 1,Bahasa Indonesia,2,A,4.0,Sangat Baik,Lulus,20241,2024,Ganjil,2024-2025
Mahasiswa 1,Mahasiswa 1,Bahasa Inggris 1,3,B,3.0,Baik,Lulus,20211,2021,Ganjil,2021-2022
Mahasiswa 1,Mahasiswa 1,Bahasa Inggris 2,3,A,4.0,Sangat Baik,Lulus,20212,2021,Genap,2021-2022
Mahasiswa 1,Mahasiswa 1,E-Business dan Pemrograman Berbasis Web,3,A,4.0,Sangat Baik,Lulus,20231,2023,Ganjil,2023-2024
Mahasiswa 1,Mahasiswa 1,Etika Profesi dan Hak Kekayaan Intelektual,3,A,4.0,Sangat Baik,Lulus,20232,2023,Genap,2023-2024
Mahasiswa 1,Mahasiswa 1,Informatika Sosial,2,A,4.0,Sangat Baik,Lulus,20222,2022,Genap,2022-2023
Mahasiswa 1,Mahasiswa 1,Interaksi Manusia dan Komputer,3,A,4.0,Sangat Baik,Lulus,20241,2024,Ganjil,2024-2025
Mahasiswa 1,Mahasiswa 1,Jaringan Area Luas,3,A,4.0,Sangat Baik,Lulus,20232,2023,Genap,2023-2024
Mahasiswa 1,Mahasiswa 1,Kalkulus I,3,A-,3.67,Sangat Baik,Lulus,20211,2021,Ganjil,2021-2022
Mahasiswa 1,Mahasiswa 1,Kalkulus II,3,A,4.0,Sangat Baik,Lulus,20212,2021,Genap,2021-2022
Mahasiswa 1,Mahasiswa 1,Keamanan Teknologi Informasi,3,A-,3.67,Sangat Baik,Lulus,20231,2023,Ganjil,2023-2024
Mahasiswa 1,Mahasiswa 1,Kepemimpinan dan Manajemen untuk Insinyur IT,3,A,4.0,Sangat Baik,Lulus,20221,2022,Ganjil,2022-2023
Mahasiswa 1,Mahasiswa 1,Keterampilan Antarpribadi,2,A-,3.67,Sangat Baik,Lulus,20231,2023,Ganjil,2023-2024
Mahasiswa 1,Mahasiswa 1,Kewirausahaan Berbasis Teknologi,3,A,4.0,Sangat Baik,Lulus,20231,2023,Ganjil,2023-2024
Mahasiswa 1,Mahasiswa 1,Kewirausahaan yang Efektif,3,A,4.0,Sangat Baik,Lulus,20222,2022,Genap,2022-2023
Mahasiswa 1,Mahasiswa 1,Komputasi Seluler,2,B+,3.33,Baik,Lulus,20241,2024,Ganjil,2024-2025
Mahasiswa 1,Mahasiswa 1,Komunikasi Data,3,B,3.0,Baik,Lulus,20221,2022,Ganjil,2022-2023
Mahasiswa 1,Mahasiswa 1,Komunikasi Nirkabel,3,A,4.0,Sangat Baik,Lulus,20232,2023,Genap,2023-2024
